col_0,REGION,DATE,DATE_parsed,YEAR,MONTH,DAY,PROFIL_TOTAL,PROFIL_ENT,PROFIL_PRO,PROFIL_RES,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,SUNHOUR,TEMPERATURE_NIGHT_C,TEMPERATURE_MEAN,HOLIDAYS,IS_WEEKEND,IS_LOCKDOWN_1,IS_LOCKDOWN_2,IS_LOCKDOWN_3,IS_LOCKDOWN_TT,IS_PUBLIC_HOLIDAYS
109,Hauts-de-France,2020-02-24T00:00:00.000Z,2020-02-24T00:00:00.000Z,2020,2,24,56204173,1576855,10912384,43714934,12,7,34,9,12,11,2,92,6,1025,96,12,9,6,5,7,10,1,0,0,0,0,0,0
111,Hauts-de-France,2020-02-25T00:00:00.000Z,2020-02-25T00:00:00.000Z,2020,2,25,58632540,1688681,11693449,45250410,9,5,30,7,8,6,4,76,8,1009,79,10,7,3,6,8,7,1,0,0,0,0,0,0
113,Hauts-de-France,2020-02-26T00:00:00.000Z,2020-02-26T00:00:00.000Z,2020,2,26,65927408,1727408,12439460,51760540,6,1,35,1,4,4,6,79,8,1012,67,6,0,-5,7,2,3,1,0,0,0,0,0,0
115,Hauts-de-France,2020-02-27T00:00:00.000Z,2020-02-27T00:00:00.000Z,2020,2,27,67834921,1742245,12787176,53305500,10,1,39,2,6,9,11,93,8,1013,90,10,7,-4,5,1,5,1,0,0,0,0,0,0
117,Hauts-de-France,2020-02-28T00:00:00.000Z,2020-02-28T00:00:00.000Z,2020,2,28,67865901,1670211,12702908,53492782,8,2,19,3,7,6,7,89,9,1006,83,8,8,0,6,4,5,1,0,0,0,0,0,0
119,Hauts-de-France,2020-02-29T00:00:00.000Z,2020-02-29T00:00:00.000Z,2020,2,29,62992591,1148913,11117851,50725827,9,4,38,8,7,6,2,89,9,1003,79,9,8,2,6,8,7,1,1,0,0,0,0,0
121,Hauts-de-France,2020-03-01T00:00:00.000Z,2020-03-01T00:00:00.000Z,2020,3,1,63669773,1152575,10248727,52268471,8,2,34,3,7,6,11,85,9,996,87,8,4,-2,6,3,5,1,0,0,0,0,0,0
123,Hauts-de-France,2020-03-02T00:00:00.000Z,2020-03-02T00:00:00.000Z,2020,3,2,64716189,1607662,12226326,50882201,7,3,36,5,6,5,6,90,9,998,64,7,3,0,9,4,5,0,0,0,0,0,0,0
125,Hauts-de-France,2020-03-03T00:00:00.000Z,2020-03-03T00:00:00.000Z,2020,3,3,67464429,1726629,12930540,52807260,7,2,22,2,6,6,1,87,10,1007,51,7,2,-3,7,2,4,0,0,0,0,0,0,0
127,Hauts-de-France,2020-03-04T00:00:00.000Z,2020-03-04T00:00:00.000Z,2020,3,4,67424308,1711767,12717101,52995440,8,1,18,1,7,7,0,88,10,1015,58,8,4,-2,8,2,4,0,0,1,0,0,1,0
129,Hauts-de-France,2020-03-05T00:00:00.000Z,2020-03-05T00:00:00.000Z,2020,3,5,63728353,1694905,12578383,49455065,9,5,26,7,9,8,29,96,7,1004,98,9,8,4,6,7,8,0,1,1,0,0,1,0
131,Hauts-de-France,2020-03-06T00:00:00.000Z,2020-03-06T00:00:00.000Z,2020,3,6,66240741,1635094,12798607,51807040,7,3,26,5,6,5,9,88,8,1009,76,7,5,0,7,6,5,0,0,0,0,0,0,0
133,Hauts-de-France,2020-03-07T00:00:00.000Z,2020-03-07T00:00:00.000Z,2020,3,7,65527054,1117493,11443632,52965929,9,2,16,2,8,8,0,90,10,1019,57,9,5,-1,8,2,5,0,0,0,0,0,0,0
135,Hauts-de-France,2020-03-08T00:00:00.000Z,2020-03-08T00:00:00.000Z,2020,3,8,62584599,1117779,10073156,51393664,11,6,31,7,9,9,4,87,10,1017,81,11,7,3,7,7,8,0,0,0,0,0,0,0
137,Hauts-de-France,2020-03-09T00:00:00.000Z,2020-03-09T00:00:00.000Z,2020,3,9,61493539,1542908,11715875,48234756,9,3,25,4,8,7,2,87,9,1018,67,9,6,0,7,4,6,0,0,0,0,0,0,0
139,Hauts-de-France,2020-03-10T00:00:00.000Z,2020-03-10T00:00:00.000Z,2020,3,10,60389295,1610021,12118940,46660334,13,6,31,9,12,13,8,92,8,1015,99,13,11,6,6,8,11,0,1,0,0,0,0,0
141,Hauts-de-France,2020-03-11T00:00:00.000Z,2020-03-11T00:00:00.000Z,2020,3,11,54427036,1517722,11035757,41873557,13,11,28,12,12,13,2,87,8,1016,91,13,10,9,6,12,12,0,0,0,1,0,1,0
143,Hauts-de-France,2020-03-12T00:00:00.000Z,2020-03-12T00:00:00.000Z,2020,3,12,53925024,1523143,11138041,41263840,10,5,31,9,9,7,6,85,9,1016,76,11,9,5,7,10,9,0,0,0,1,0,1,0
145,Hauts-de-France,2020-03-13T00:00:00.000Z,2020-03-13T00:00:00.000Z,2020,3,13,56409281,1479216,11292246,43637819,10,4,26,4,10,8,1,81,10,1022,48,10,3,0,8,5,7,0,0,0,0,0,0,0
147,Hauts-de-France,2020-03-14T00:00:00.000Z,2020-03-14T00:00:00.000Z,2020,3,14,57766439,1033734,10289234,46443471,9,4,22,4,9,8,1,91,8,1022,79,9,6,1,6,5,7,0,1,0,0,0,0,0
149,Hauts-de-France,2020-03-15T00:00:00.000Z,2020-03-15T00:00:00.000Z,2020,3,15,55186603,1010991,8950995,45224617,11,5,27,6,10,10,0,94,10,1016,78,11,6,2,6,6,8,0,1,0,0,0,0,0
151,Hauts-de-France,2020-03-16T00:00:00.000Z,2020-03-16T00:00:00.000Z,2020,3,16,54968240,1398210,9704190,43865840,14,7,8,7,12,12,0,88,10,1025,42,14,8,6,11,8,10,0,0,0,0,0,0,0
153,Hauts-de-France,2020-03-17T00:00:00.000Z,2020-03-17T00:00:00.000Z,2020,3,17,53371545,1485187,9042596,42843762,14,6,9,6,12,12,0,81,10,1030,47,14,8,5,9,6,9,0,0,1,0,0,1,0
155,Hauts-de-France,2020-03-18T00:00:00.000Z,2020-03-18T00:00:00.000Z,2020,3,18,50514166,1452392,8409245,40652529,16,8,15,8,14,14,0,94,9,1029,49,16,9,7,9,8,11,0,0,1,0,0,1,0
157,Hauts-de-France,2020-03-19T00:00:00.000Z,2020-03-19T00:00:00.000Z,2020,3,19,48113546,1443641,8160880,38509025,15,9,8,9,14,13,1,78,10,1025,70,15,9,9,7,10,11,0,0,1,0,0,1,0
159,Hauts-de-France,2020-03-20T00:00:00.000Z,2020-03-20T00:00:00.000Z,2020,3,20,47765269,1366550,8064608,38334111,10,7,23,7,9,8,0,91,10,1026,75,10,7,4,7,8,8,0,0,1,0,0,1,0
161,Hauts-de-France,2020-03-21T00:00:00.000Z,2020-03-21T00:00:00.000Z,2020,3,21,52033110,964244,8093483,42975383,9,4,30,4,8,8,0,83,9,1025,64,9,3,-2,8,5,6,0,1,1,0,0,1,0
163,Hauts-de-France,2020-03-22T00:00:00.000Z,2020-03-22T00:00:00.000Z,2020,3,22,54827107,989908,8025614,45811585,9,1,32,1,7,7,0,70,10,1027,1,9,0,-5,12,2,4,0,1,1,0,0,1,0
165,Hauts-de-France,2020-03-23T00:00:00.000Z,2020-03-23T00:00:00.000Z,2020,3,23,55138913,1359436,8540663,45238814,10,-1,27,-1,7,8,0,58,10,1028,0,10,0,-6,12,1,4,0,0,1,0,0,1,0
167,Hauts-de-France,2020-03-24T00:00:00.000Z,2020-03-24T00:00:00.000Z,2020,3,24,56205494,1510137,8748474,45946883,10,-1,21,-1,7,7,0,54,10,1028,3,10,0,-5,12,0,3,0,0,1,0,0,1,0
169,Hauts-de-France,2020-03-25T00:00:00.000Z,2020-03-25T00:00:00.000Z,2020,3,25,57958340,1532083,8820549,47605708,10,-1,18,-1,7,8,0,59,10,1027,3,10,0,-5,12,0,3,0,0,1,0,0,1,0
171,Hauts-de-France,2020-03-26T00:00:00.000Z,2020-03-26T00:00:00.000Z,2020,3,26,59693127,1561715,8967840,49163572,9,-1,22,-1,7,6,0,65,10,1022,6,9,0,-5,12,1,3,0,0,1,0,0,1,0
173,Hauts-de-France,2020-03-27T00:00:00.000Z,2020-03-27T00:00:00.000Z,2020,3,27,58440654,1475420,8826280,48138954,11,2,19,2,9,9,0,81,10,1021,27,11,4,-2,11,2,6,0,0,1,0,0,1,0
175,Hauts-de-France,2020-03-28T00:00:00.000Z,2020-03-28T00:00:00.000Z,2020,3,28,54964989,996639,8235472,45732878,13,6,28,6,11,10,0,88,10,1026,44,13,6,3,11,6,8,0,1,1,0,0,1,0
177,Hauts-de-France,2020-03-29T00:00:00.000Z,2020-03-29T00:00:00.000Z,2020,3,29,58904257,1013685,8256286,49634286,7,2,39,3,7,5,0,70,10,1034,35,7,0,-2,11,3,5,0,1,1,0,0,1,0
179,Hauts-de-France,2020-03-30T00:00:00.000Z,2020-03-30T00:00:00.000Z,2020,3,30,64551805,1456097,9313122,53782586,7,-1,25,-1,6,6,0,63,10,1033,21,7,1,-6,11,-1,2,0,0,1,0,0,1,0
